plate_barcode,well_description,image_description,object_description,pattern_description,AreaShape_compactness,AreaShape_euler_number
110000106828,A01,1,476,Cells,1.19179819268983,1
110000106828,A01,1,383,Cells,1.18790363022166,1
110000106828,A01,1,413,Cells,1.56787331793812,1
110000106828,A01,1,324,Cells,1.58157283470625,1
110000106828,A01,1,337,Cells,1.19196639136635,1
110000106828,A01,1,66,Cells,1.20404897513571,1
110000106828,A01,1,312,Cells,1.31921103926652,1
110000106828,A01,1,268,Cells,1.10520778243066,1
110000106828,A01,1,236,Cells,1.13473149772426,1
110000106828,A01,1,486,Cells,1.80839292436352,1
110000106828,A01,1,445,Cells,1.40561833981064,1
110000106828,A01,1,299,Cells,1.43977238094866,1
110000106828,A01,1,456,Cells,1.47231741997172,1
110000106828,A01,1,125,Cells,1.07989605609469,1
110000106828,A01,1,474,Cells,1.34903467011331,1
110000106828,A01,1,310,Cells,1.43763616715526,1
110000106828,A01,1,123,Cells,1.25275378230182,1
110000106828,A01,1,242,Cells,1.16962901637735,1
110000106828,A01,1,52,Cells,1.79477189478146,1
110000106828,A01,1,301,Cells,1.04444813437168,1
110000106828,A01,1,523,Cells,1.02215597998305,1
110000106828,A01,1,215,Cells,1.58720038332227,1
110000106828,A01,1,487,Cells,1.00752518864208,1
110000106828,A01,1,70,Cells,1.38485556393323,1
110000106828,A01,1,480,Cells,1.35262539752048,1
110000106828,A01,1,190,Cells,1.26247417151487,1
110000106828,A01,1,126,Cells,1.06430447185726,1
110000106828,A01,1,77,Cells,1.05952125255559,1
110000106828,A01,1,481,Cells,2.01871928313558,1
110000106828,A01,1,122,Cells,1.08111629613262,1
110000106828,A01,1,482,Cells,1.33988606894183,1
110000106828,A01,1,45,Cells,1.07517680016469,1
110000106828,A01,1,88,Cells,1.57413795912989,1
110000106828,A01,1,440,Cells,1.98677839893569,1
110000106828,A01,1,466,Cells,1.04711110534974,1
110000106828,A01,1,162,Cells,2.7376575846808,1
110000106828,A01,1,194,Cells,1.43108788377727,1
110000106828,A01,1,28,Cells,1.14742509675071,1
110000106828,A01,1,372,Cells,1.17158406563717,1
110000106828,A01,1,516,Cells,1.13617740546373,1
110000106828,A01,1,252,Cells,3.31637188617479,1
110000106828,A01,1,44,Cells,1.29357142473243,1
110000106828,A01,1,431,Cells,1.12428233641758,1
110000106828,A01,1,378,Cells,1.13595940630299,1
110000106828,A01,1,221,Cells,1.05911880592709,1
110000106828,A01,1,311,Cells,1.37958924663207,1
110000106828,A01,1,363,Cells,1.0406068858907,1
110000106828,A01,1,345,Cells,1.1461171515099,1
110000106828,A01,1,50,Cells,1.23527390664425,1
110000106828,A01,1,100,Cells,1.12885978647836,1
110000106828,A01,1,426,Cells,1.23960330673859,1
110000106828,A01,1,329,Cells,1.12552985618262,1
110000106828,A01,1,374,Cells,1.16557891559639,1
110000106828,A01,1,520,Cells,1.62191128310894,1
110000106828,A01,1,143,Cells,1.41123499935256,1
110000106828,A01,1,470,Cells,1.27675951337101,1
110000106828,A01,1,381,Cells,1.17511088158042,1
110000106828,A01,1,282,Cells,1.10249370626206,1
110000106828,A01,1,304,Cells,1.21604186072198,1
